,pavel-nb_plays-50-units-50-__activation__-elu-__nb_plays__-25-__units__-10-ensemble-1-loss,pavel-nb_plays-50-units-64-loss,nb_plays-50-units-50-__activation__-elu-__nb_plays__-50-__units__-50-ensemble-1-loss,nb_plays-50-units-128-loss
383,21.332,2.705,1.219,3.797
384,21.102,4.773,1.216,4.505
385,20.87,3.58,1.213,5.35
386,20.638,3.357,1.209,4.592
387,20.409,3.485,1.206,3.342
388,20.193,3.753,1.203,4.221
389,19.987,3.358,1.199,4.269
390,19.796,4.44,1.196,4.241
391,19.605,4.75,1.193,4.251
392,19.408,3.048,1.19,4.218
393,19.199,2.835,1.186,4.535
394,18.985,3.361,1.183,4.448
395,18.781,3.206,1.18,4.135
396,18.591,2.325,1.176,3.51
397,18.419,2.435,1.173,3.828
398,18.264,3.519,1.17,8.986
399,18.109,4.504,1.167,9.584
400,17.943,3.195,1.163,5.807
401,17.763,3.568,1.16,4.747
402,17.574,2.895,1.157,5.212
403,17.376,2.776,1.154,5.064
404,17.177,3.3,1.15,3.594
405,16.981,3.418,1.147,3.398
406,16.793,3.04,1.144,4.259
407,16.613,3.107,1.141,4.85
408,16.434,3.198,1.137,3.886
409,16.258,2.985,1.134,4.586
410,16.082,3.348,1.131,4.614
411,15.907,3.531,1.128,3.637
412,15.733,3.401,1.125,5
413,15.558,3.05,1.121,4.654
414,15.381,3.397,1.118,3.886
415,15.201,2.669,1.115,4.166
416,15.02,2.827,1.112,3.78
417,14.839,2.921,1.109,3.893
418,14.658,3.131,1.106,4.098
419,14.478,3.801,1.103,3.352
420,14.303,3.409,1.1,3.449
421,14.13,3.125,1.096,4.213
422,13.958,2.452,1.093,3.947
423,13.789,2.872,1.09,3.378
424,13.619,3.164,1.087,4.051
425,13.448,3.245,1.084,6.291
426,13.276,2.827,1.081,3.958
427,13.105,2.728,1.078,3.463
428,12.935,2.627,1.075,2.803
429,12.767,2.98,1.072,4.061
430,12.599,3.228,1.069,3.762
431,12.433,5.756,1.066,5.271
432,12.268,2.465,1.063,4.572
433,12.104,2.375,1.061,5.659
434,11.94,2.65,1.058,4.62
435,11.777,2.805,1.055,3.724
436,11.615,2.776,1.052,3.821
437,11.453,4.53,1.049,3.371
438,11.293,3.256,1.046,3.567
439,11.133,3.89,1.044,4.94
440,10.975,3.685,1.041,3.7
