# #stocks, #noise, #price, #walk, #kn, #action,#timestep
6889,97,-0.886,2520,2357,sell,513
6986,-16,-1.072,2617,2454,buy,514
6967,-74,-0.144,2601,2435,buy,515
6892,-185,-0.133,2527,2360,buy,516
6699,4,-0.106,2342,2167,sell,517
6703,12,-0.617,2346,2171,sell,518
6715,-124,-0.636,2358,2183,buy,519
6589,24,-0.093,2234,2057,sell,520
6613,257,-0.546,2258,2081,sell,521
6870,-64,-0.847,2515,2338,buy,522
6800,45,-0.12,2451,2268,sell,523
6846,85,-0.806,2496,2314,sell,524
6931,-238,-0.964,2581,2399,buy,525
6688,-47,-0.105,2343,2156,buy,526
6634,-43,-0.099,2296,2102,buy,527
6589,-53,-0.093,2253,2057,buy,528
6535,-163,-0.086,2200,2003,buy,529
6367,-209,-0.067,2037,1835,buy,530
6158,191,-0.046,1828,1626,sell,531
6349,12,-0.41,2019,1817,sell,532
6364,178,-0.415,2031,1832,sell,533
6542,-41,-0.499,2209,2010,buy,534
6500,-38,-0.082,2168,1968,buy,535
6452,-90,-0.076,2130,1920,buy,536
6360,-18,-0.066,2040,1828,buy,537
6336,25,-0.064,2022,1804,sell,538
6364,35,-0.415,2047,1832,sell,539
6401,112,-0.429,2082,1869,sell,540
6513,-143,-0.481,2194,1981,buy,541
6367,80,-0.067,2051,1835,sell,542
6451,-57,-0.453,2131,1919,buy,543
6381,156,-0.069,2074,1849,sell,544
6537,6,-0.496,2230,2005,sell,545
6545,209,-0.5,2236,2013,sell,546
6754,-144,-0.678,2445,2222,buy,547
6599,-140,-0.094,2301,2067,buy,548
6452,86,-0.076,2161,1920,sell,549
6539,35,-0.498,2247,2007,sell,550
6574,-8,-0.519,2282,2042,buy,551
6565,33,-0.09,2274,2033,sell,552
6599,-28,-0.537,2307,2067,buy,553
6565,136,-0.09,2279,2033,sell,554
6702,-33,-0.616,2415,2170,buy,555
6662,-76,-0.102,2382,2130,buy,556
6577,-38,-0.092,2306,2045,buy,557
6535,-53,-0.086,2268,2003,buy,558
6474,136,-0.079,2215,1942,sell,559
6611,-79,-0.545,2351,2079,buy,560
6524,-45,-0.085,2272,1992,buy,561
6474,167,-0.079,2227,1942,sell,562
6642,-36,-0.566,2394,2110,buy,563
6599,103,-0.094,2358,2067,sell,564
6702,7,-0.616,2461,2170,sell,565
